"","Subj","Dose","TB","Transitions","Dur","RA","ES","Thigmotaxis","Freezing"
"1","A1","0",167.524,59,2.8393898305,7,6,39.97457688,41.8601197850636
"2","A2","0",148.632,50,2.97264,7,12,20.79213048,7.42403558127573
"3","A3","0",179.934,60,2.9989,2,2,32.58784674,32.9485874855132
"4","A4","0",104.041,59,1.7634067797,5,5,0.45465917,40.5337510322324
"5","A5","0",436.657,21,20.7931904762,3,0,95.78071295,24.3593997083044
"6","A6","0",135.942,87,1.5625517241,11,11,11.47078596,25.5123963845591
"7","A7","0",147.566,33,4.4716969697,3,12,39.1935296,35.2344057432865
"8","A8","0",107.658,79,1.3627594937,14,9,17.64622278,10.9974849300653
"9","A9","0",155.281,45,3.4506888889,6,0,0,59.5449326413101
"10","A10","0",152.763,25,6.11052,10,0,36.88309872,25.9438131976232
"11","A11","0",154.975,111,1.3961711712,5,0,56.677457,10.0051040095452
"12","A12","0",143.969,31,4.6441612903,4,0,10.37584583,21.1064767809209
"13","A13","0",130.332,80,1.62915,8,0,5.1937302,14.4802145181123
"14","A14","0",54.243,62,0.8748870968,5,10,11.17351557,37.0184851706055
"15","A15","0",167.067,40,4.176675,0,16,25.74001269,12.4289922163123
"16","A16","0",212.507,50,4.25014,8,11,46.2415232,9.2883913650581
"17","A17","0",157.776,147,1.0733061224,4,0,22.59194544,19.0856826635776
"18","A18","0",86.796,54,1.6073333333,6,0,20.30766012,30.0139644835368
"19","A19","0",136.92,18,7.6066666667,8,5,23.0148828,14.4217028758086
"20","A20","0",13.392,2,6.696,8,15,4.33673136,11.6744552903097
"21","B1","0.01",107.279,33,3.2508787879,6,1,11.93371596,16.5766610291095
"22","B2","0.01",125.769,45,2.7948666667,9,0,27.2289885,31.0363943518802
"23","B3","0.01",76.754,12,6.3961666667,13,0,31.66793286,13.3836912290273
"24","B4","0.01",136.232,38,3.5850526316,5,0,30.9382872,17.3197817845001
"25","B5","0.01",78.524,17,4.6190588235,7,0,20.89288068,14.2033763402631
"26","B6","0.01",98.399,15,6.5599333333,8,7,36.09964113,74.1806371597868
"27","B7","0.01",143.784,3,47.928,0,0,43.83542808,50.3808803873876
